"Text","Total Tokens","TTR 500","TTR 1000","TTR 2000","TTR 4051"
"Rabindranath-Tagore-The-Hungry-Stones-and-other-stories.txt", 49194,50.0,41.9,34.6,28.0
"Rabindranath-Tagore-The-Post-Office.txt", 7674,42.4,33.2,25.6,19.4
"Rokeya-Sakhawat-Hossain-Sultanas-Dream-1905-fiction.txt", 4051,49.6,41.5,34.1,27.5
"Rudyard-Kipling-Departmental-Ditties-and-Barrack-Room-Ballads-Poetry.txt", 30468,51.1,44.2,37.8,31.8
"Rudyard-Kipling-In-Black-and-White.txt", 93474,51.3,43.3,36.0,29.4
"Rudyard-Kipling-Just-So-Stories.txt", 30540,41.5,32.8,25.7,19.9
"Rudyard-Kipling-Kim.txt", 108911,53.2,44.9,37.3,30.4
"Rudyard-Kipling-Plain-Tales-From-the-Hills.txt", 74210,50.4,42.5,35.3,29.0
"Rudyard-Kipling-Soldiers-Three-Fiction.txt", 93354,49.2,40.8,33.4,27.1
"Rudyard-Kipling-The-City-of-Dreadful-Night-1899-Fiction.txt", 19088,54.6,47.1,39.9,33.3
"Rudyard-Kipling-The-Jungle-Book.txt", 52344,48.2,39.3,31.5,24.7
"Rudyard-Kipling-The-Man-Who-Would-Be-King.txt", 14864,48.8,39.9,32.2,25.3
"Rudyard-Kipling-The-Phantom-Rickshaw.txt", 47297,50.7,42.5,35.1,28.4
"Rudyard-Kipling-The-Second-Jungle-Book-fiction.txt", 65555,50.1,41.5,33.7,26.6
"Rudyard-Kipling-and-Wolcott-Balestier-The-Naulahka-1891-fiction.txt", 86465,51.2,43.5,36.5,30.1
"S-B-Banerjea-Tales-of-Bengal-Fiction.txt", 46332,55.0,47.3,40.3,33.4
"S-M-Edwardes-By-Ways-of-Bombay-Fiction.txt", 30912,55.7,49.2,43.1,37.2
"Sara-Jeannette-Duncan-Hilda-A-Story-of-Calcutta-1898.txt", 87618,53.2,45.4,38.2,31.6
"Sara-Jeannette-Duncan-The-Burnt-Offering-1910-Fiction.txt", 88133,52.3,44.2,37.0,30.4
"Sara-Jeannette-Duncan-The-Pool-in-the-Desert-Fiction.txt", 69824,52.0,43.8,36.4,29.6
"Sara-Jeannette-Duncan-The-Simple-Adventures-of-a-Memsahib.txt", 86867,53.1,45.4,38.2,31.6
"Sara-Jeannette-Duncan-The-Story-of-Sonny-Sahib-1894.txt", 18018,49.1,40.9,33.5,26.9
"Saratchandra-Chatterji-Srikanta-1922-fiction-translation.txt", 51415,50.1,41.7,34.2,27.5
"Sarojini-Naidu-The-Golden-Threshold-Poetry-1905.txt", 8326,52.0,45.0,38.0,31.3
"Talbot-Mundy-A-Soldier-and-a-Gentleman-1914-fiction.txt", 24327,51.7,43.8,36.6,29.7
"Talbot-Mundy-Case-13-1932-fiction-copyright.txt", 10571,53.2,44.7,37.3,30.5
"Talbot-Mundy-Caves-of-Terror-the-Grey-Mahatma-fiction.txt", 45914,51.1,42.9,35.5,28.8
"Talbot-Mundy-Guns-of-the-Gods-fiction.txt", 88517,52.4,44.3,37.0,30.3
"Talbot-Mundy-Hira-Singh-When-India-Came-to-Fight-in-Flanders.txt", 86311,48.4,39.6,31.9,25.1
"Talbot-Mundy-Hookum-Hai-1913-fiction.txt", 31401,49.8,41.8,34.5,27.9
"Talbot-Mundy-King-of-the-Khyber-Rifles-A-Romance-of-Adventure-Fiction.txt", 106464,50.5,42.2,34.7,28.0
"Talbot-Mundy-The-Red-Flame-of-Erinpura-fiction-1927.txt", 48937,53.9,45.9,38.7,32.1
"Talbot-Mundy-The-Winds-of-the-World-1915-fiction.txt", 52391,50.4,42.0,34.4,27.5
"Toru-Dutt-Ancient-Ballads-And-Legends-of-Hindustan-1885.txt", 22740,57.5,49.2,41.3,33.6
"W-D-Arnold-Oakfield-or-Fellowship-in-the-East-1854-fiction.txt", 148965,51.6,43.5,36.2,29.6
"W-S-R-Hodson-Twelve-Years-of-a-soldiers-life-in-india-1860-Mutiny-Nonfiction.txt", 133894,53.7,45.4,37.6,30.4
